2602:fcc0:2222:9d2e::53                  # tpa01.dnscry.pt
2602:fe54:22:57::5bd:134                 # coe01.dnscry.pt
2602:fed2:fb0:6d::1                      # yvr01.dnscry.pt
2603:c020:5:3566:beef:beef:beef:beef     # dns.ofdoom.net
2603:c020:800b:ac01:848b:d155:8652:cd03  # dns.almir1904.eu
2603:c020:800f:c5af:9fd:880f:6224:4cd4   # ad.tzockt.beer
2603:c020:8010:fc33::26                  # adg.tshost.no
2603:c020:8010:fc33::35                  # adg.tshost.no
2603:c021:4004:5500::10                  # adblock.indianets.net
2603:c021:8005:4100:0:6762:42b7:67a3     # jp1.f7b6h9.tk
2603:c022:800e:b67e:1011::               # dns.haka.se
2603:c023:1:8763:80d6:891:ed34:7b18      # dns.chromeina.top
2603:c023:c003:3d4c:0:3106:acb8:2787     # dns.meeo.win
2603:c024:9:35af:19c7:3532:ac18:f4b9     # dns.moonssif.com
2603:c024:4509:b8aa:420a:4988:30a:5acd   # dns.0ooo.icu
2603:c024:8005:35ad:1440:2400:1430:1440  # dns.d94.xyz
2604:2dc0:101:200::217f                  # dns.freyja.pw
2604:2dc0:101:200::28d4                  # dns.dns-53.us
2604:2dc0:101:200::438a                  # dns.dns-53.com
2604:5e40:102:15::87                     # adguard1.leadmon.net
2604:8d80:100::adf3:4066                 # clientdns3.softcom.net
2604:a880:1:20::16f:f001                 # kiri.nonexiste.net
2604:a880:400:d0::1919:a001              # dns.vinnyp.xyz
2604:a880:400:d1::b7a:c001               # doh-primary-pool.detoxifypornblocker.com
2604:bf00:210:12::2                      # phl01.dnscry.pt
2605:80:8:8::                            # ag.ff0x.ca
2605:c000:4030:1::2d2:f210               # renardbleu.dev
2605:c000:4030:1::26b8:7a18              # renardbleu.dev
2605:c000:4030:1::83c2:ee46              # renardbleu.dev
2606:1a40::11                            # p0.freedns.controld.com, uncensored.freedns.controld.com
2606:1a40::22                            # dns.controld.com
2606:2040:140:131::2                     # ada.openbld.net
2606:2040:1800:bb::2                     # ada.openbld.net
2606:4700:4700::64                       # dns64.cloudflare-dns.com
2606:4700:4700::1002                     # security.cloudflare-dns.com
2606:4700:4700::1112                     # security.cloudflare-dns.com
2606:4700:4700::6400                     # dns64.cloudflare-dns.com
2606:6080:2001:1099::a                   # yyz01.dnscry.pt
2606:65c0:10:15d:92e0:c7e5:b57:5b00      # las01.dnscry.pt
2606:6680:45:1::e859:6f4e                # yul01.dnscry.pt
2606:a8c0:3:202::a                       # geg01.dnscry.pt
2607:5300:205:200::4b24                  # dns.asysec.com
2607:a680:6:f016::3a25                   # den01.dnscry.pt
2607:b500:418:1600::1                    # agh.fltn.us
2607:f1c0:f00d:2800::1                   # dns.keviland.com
2620:0:ccd::2                            # resolver2.ipv6-sandbox.opendns.com
2620:46:8000:128::100                    # cluster-0.gac.edu
2620:46:8000:128::101                    # cluster-1.gac.edu
2620:87:a000::39                         # blocker.thethorsens.org
2620:fe::9                               # dns9.quad9.net
2620:fe::10                              # dns-nosec.quad9.net
2620:fe::11                              # dns11.quad9.net
2620:fe::12                              # dns12.quad9.net
2620:fe::13                              # dns13.quad9.net
2620:fe::fe:9                            # dns9.quad9.net
2620:fe::fe:11                           # dns11.quad9.net
2620:fe::fe:12                           # dns12.quad9.net
2620:fe::fe:13                           # dns13.quad9.net
2620:10a:80bb::10                        # private.canadianshield.cira.ca
2620:10a:80bb::20                        # protected.canadianshield.cira.ca
2620:10a:80bc::10                        # private.canadianshield.cira.ca
2620:10a:80bc::20                        # protected.canadianshield.cira.ca
2620:119:35::35                          # dns.opendns.com
2620:119:53::53                          # dns.opendns.com
2620:119:fc::5                           # doh.umbrella.com
2620:149:9cc::11                         # doh.dns.apple.com.v.aaplimg.com
2620:149:9cc::12                         # doh.dns.apple.com
2620:149:9cc::13                         # doh.dns.apple.com, doh.dns.apple.com.v.aaplimg.com
2620:149:9cc::15                         # doh.dns.apple.com.v.aaplimg.com
2620:149:9cc::16                         # doh.dns.apple.com.v.aaplimg.com
2620:149:a0c:3000::1c2                   # doh.dns.apple.com
2620:149:a0c:4000::1c2                   # doh.dns.apple.com
2620:171:80c::1                          # doh.dns.apple.com, doh.dns.apple.com.v.aaplimg.com
2620:171:80d::1                          # doh.dns.apple.com, doh.dns.apple.com.v.aaplimg.com
2800:e2:2500:1d9f::2                     # dns.listo.click
2800:e2:2500:1d9f::3                     # dns.listo.click
2803:f800:53::4                          # mozilla.cloudflare-dns.com
2a00:c98:2030:a005:feed:df:c0ff:eeee     # cryptostorm.is
2a00:c98:2050:a04d:1::400                # dns.dynx.pro
2a00:c98:2200:af06:5::1                  # dns.smartguard.io
2a00:c98:4002:1:6::42                    # dns.keweon.center
2a00:c98:4002:1:6::44                    # dns.keweon.center
2a00:c98:4002:1:7::51                    # dns.keweon.center
2a00:c98:4002:1:7::53                    # dns.keweon.center
2a00:c98:4002:1:8::11                    # dns.keweon.center
2a00:c98:4002:1:8::12                    # dns.keweon.center
2a00:c98:4002:1:9::57                    # dns.keweon.center
2a00:c98:4002:1:9::59                    # dns.keweon.center
2a00:c98:4002:1:a::17                    # dns.keweon.center
2a00:c98:4002:1:a::20                    # dns.keweon.center
2a00:c98:4002:2:4::69                    # dns.keweon.center
2a00:c98:4002:2:4::73                    # dns.keweon.center
2a00:c98:4002:2:c::115                   # dns.keweon.center
2a00:c98:4002:2:c::117                   # dns.keweon.center
2a00:d78:0:712:94:198:159:3              # doh.sidnlabs.nl
2a00:11c0:39:353::3                      # chromium.dns.nextdns.io, dns.nextdns.io
2a00:5980:94::71                         # dns.circl.lu
2a00:6a00:ad1:806::83                    # dns.cert.ee
2a00:6a00:ad1:806::86                    # dns.cert.ee
2a00:7c83:0:12:14d0:f5b6:4ec:a           # naw01.dnscry.pt
2a00:da00:1800:8302::1                   # dns.kuuhaku.moe
2a00:da00:f425:5800::1                   # dns.dremaxx.de
2a00:da00:f42d:b400::1                   # ahoj.email
2a00:da00:f42d:b400:0:2:2:2              # ahoj.email
2a00:f826:8:1::254                       # opennic1.eth-services.de
2a01:239:251:a800::1                     # dns.dremaxx.de
2a01:239:2fd:b700::1                     # ns1.opennameserver.org
2a01:239:303:1800::1                     # testguard.meexx.de
2a01:239:376:ec00::1                     # dns.schlagheck.berlin
2a01:3a0:53:53::                         # unicast.uncensoreddns.org
2a01:4f8:a0:6396:1::3                    # doh.niyawe.de
2a01:4f8:10a:1d8f::2                     # dns.glf.wtf
2a01:4f8:10a:269e::2                     # dns.luma-medien.com
2a01:4f8:10b:1ed6::2                     # doh.42l.fr
2a01:4f8:13a:250b::187                   # dns.decloudus.com
2a01:4f8:13b:3407::face                  # dns.digitalsize.net
2a01:4f8:141:1063:1::3                   # doh.niyawe.de
2a01:4f8:150:74d5::333                   # de.dns.privex.io
2a01:4f8:171:1f15::1                     # dns.coderoria.com
2a01:4f8:173:fc02:1::a4ae                # doh.wewitro.net
2a01:4f8:200:80ee::1                     # dns.comff.net
2a01:4f8:241:4d06::2                     # dns.ihaveacloud.com
